CleanReviews,Sentiment
especially liked non cliche choice parent movie could predict dialog verbatim writing movie made better selection,1
want movie gross give chill great choice,1
alexander nevsky great film,1
amazing film artist one important whoever lived,1
glad pretentious piece planned dodge stratus big shot gon na help movie maker restrained movie business qu bec,0
first movie given year,1
wa ever movie needed word mouth promote,1
overall film interesting thought provoking,1
plus wa well paced suited relatively short run time,1
give one look,1
gave,1
wind lion well written superbly acted,1
true classic,1
actually turned pretty decent far b list horror suspense film go,1
definitely worth checking,1
problem wa script,0
wa horrendous,0
wa nothing believable,0
suspense wa feeling wa frustration retarded girl,0
manna heaven terrific film predictable unpredictable time,1
scene often funny occasionally touching character evaluate life going,1
cast veteran actor nostalgia trip,1
ursula burton portrayal nun touching funny time making fun nun church,1
looking movie terrific cast good music including shirley jones rendition way look tonight uplifting ending give one try,1
think disappointed,1
frankly cotton club unfaithful wa kind embarrassing watch lane gere film bad,0
acting wa bad dialog extremely shallow insincere,0
wa predictable even chick flick,0
politically correct,0
disappointing,0
thing really worth watching wa scenery house beautiful,1
love lane never seen movie lousy,0
hour half wish could bring back,0
term writing fresh bold,1
acting help writing along well maybe idiot savant sister could played better real joy watch,1
directing cinematography quite good,0
movie wa boring sometimes found occupied peaking paper instead watching never happened columbo movie,0
sometimes wa embarrassing look away,0
directing seems pretentious,0
scene oh mature neighbour girl misplace,0
generally line plot weaker average episode,0
scene debated whether sack trumpeter falsely wa accused murder pure horror really stupid,0
applause given prelude however,1
really liked,1
great film great director,1
movie edge seat made somewhat afraid go car end night,1
music film really nice,1
advise anyone go see,1
brilliant,1
,1
liked movie way much,1
problem thought actor playing villain wa low rent michael ironside,0
rocked world certainly must see anyone social physical outlet,1
however make fact overall wa tremendously boring movie,0
wa chemistry ben affleck sandra bullock film understand would consider even leaving wife chick supposedly wa knocked,0
several moment movie need excruciatingly slow moving,0
wa poor remake best friend wedding,0
great disappointment,0
believe actor agreed film,0
could stand even watch long fear losing q,0
guess nobody network aired dribble watched putting,0
imdb rating go low awful time get negative number case,0
saw mirrormask last night wa unsatisfactory experience,0
unfortunately inexperience direction meant scene scene passed little way dramatic tension conflict,0
central theme film handled ineptly stereotypically depth imagination,0
pretty picture world make piece work flawed core,0
hour half waste time following bunch pretty high schoolers whine cry life,0
relate hell barely understand,0
definitely cult classic well worth viewing sharing others,1
movie pure disaster story stupid editing worst seen confuses incredibly,0
fish badly made underwater shot repeated thousand time film,0
truly truly bad film,0
acting terrible writing worse,0
possible way movie could redeemed would mst k fodder,0
paid much,0
also real treat see anthony quinn playing crazy horse,1
wa boring,0
plot whatsoever,0
plot,0
horrible,0
worst hour half life oh gosh,0
walk theatre minute get relief,0
hate movie like,0
yeah movie pretty much sucked,0
plot storyline,0
go see movie bring pillow girlfriend boyfriend keep occupied,0
awful,0
think ever gone movie disliked much,0
wa good thing ticket cost five dollar would mad paid see crap,0
nobody identifies character cardboard cutout stereotype predictably reverse stereotype,0
bad film bad writing good actor ugly cartoon crafted paul haggis people handle anything bold stroke storytelling picture painted crayon,0
crash depressing little nothing provokes emotion teach nothing already know racism prejudice bad thing,0
still like movie empowerment woman enough movie like one,1
brain attempt shut part primal impulse self preservation,0
wa left shattered experience watching film took good two hour fully recover,0
movie join revenge boogeyman zombiez part hellish trinity horror film,0
certainly mean distinction good way,0
mean terrible way,0
film ha redeeming feature,0
everything appalling,0
artless camera work endlessly present u ugliest setting imaginable e,0
story beyond stupid,0
script wa script,0
kid annoying,0
lead man charisma free,0
utterly without merit level akin torture,0
even say torture,0
maybe would reasonable explanation atrocity,0
pleasant voyage self discovery,0
highly unrecommended,0
premise sound stupid,0
yes bad,0
nothing recommend,0
excellent performance,1
garbo showed right bat talent could carry silent era wanted see silent work netflix seem stocking,1
also great see renowned silent screenwriter france marion missed step going silent sound,1
movie suffered writing needed suspense,0
many close ups,0
movie seemed drag hero really work freedom,0
movie definitely average rent,0
love,1
movie bad,0
bad,0
film way long,0
definitely one bad one,0
movie received wa great quality film age,1
john wayne incredible job young movie industry,1
screen presence shined thought even though senior actor screen,1
think must see older john wayne film,1
really see anyone could enjoy movie,0
think ever seen movie half boring self indulgent piece junk,0
probably would better director spent movie showcasing art work really noteworthy,0
another thing really like character got punched face gallon blood would spew forth soon,0
jamie foxx absolutely ray charles,1
performance simply genius,1
owns film spacek owned coal miner daughter quaid owned great ball fire,1
fact hard remember part ray charles acted played man,1
ray charles legendary,1
ray charles life provided excellent biographical material film go well beyond another movie musician,1
hitchcock great director,1
ironically mostly find film total waste time watch,0
secondly hitchcock pretty much perfected thriller chase movie,1
pandering audience sabotage film,0
hence whole story lack certain energy,0
plot simply rumble like machine desperately depending addition new scene,0
usual hitchcock logic flaw,0
mishima extremely uninteresting,0
chilly unremarkable movie author living working chilly abstruse culture,0
flat reenactment hold attention emotionally adrift stagy,0
rest sits awful soldier singing song masculinity pledge hairsplitting purity admiration sword etc,0
bore piece kill momentum movie quicker anyone else,0
schrader ha made resume full lousy amateurish film,0
first watched movie loved,1
wa totally fascinated music dancing everything,1
however recently watched whole thing dvd wa completely struck extremely stupid storyline wa contained hole inconsistency frankly whole lot crap horrid dancing wa,0
mean realistic world would never gotten ballet repertory whole thing wa quite pathetic,0
character development also lacked depth,0
woa talk awful,0
waste time,0
wa horrible,0
worst sappiest dialogue could go,0
really made unwatchable wa direction,0
poor actor,0
even tell talent pathetic line speak director gave action,0
check director filmography site see film chance,0
would even good made tv flick,0
good intention made film great film might one greatest film ever made,1
film ha great actor master director significant theme least would significant theme undertone fifty existential world weariness aerial scene ought thrilled sens imagination character one might deeply care,1
regrettably film fails,0
movie lack visual interest drama expression feeling celebration patriotism underline narrative,0
actress ha worse used june allison movie,0
yet enjoy watching,1
unfortunately bad movie plain bad,0
bad script bad direction horrible acting make one plain bad,0
dialogue sucked,0
cinematography called sucked,0
soundtrack sucked,0
acting sucked,0
concert sequence sucked,0
wa nice,1
wa funny,1
wa funny,1
overall movie wa cheap trash,0
movie funny considering ridiculousness,0
came feeling angry,0
spoiler whatever else said surface superbly crafted,1
cinematography simply stunning say least fx nothing state art,1
conceptually show offer little bit everything everybody parent kid fantasy fx fan,1
single sour note struck acting wise either surprisingly solid casting,1
thing considered job well done,1
thanks good movie like wa done released,1
one best mexican movie ever one le understood even mexican matter identified felt,1
rank highly great noir crime drama incredible performance belmondo lino ventura,1
attention given every character complex psychological portrayal detailing loyalty treachery love hope tremendous,1
excellent drama excellent thriller excellent film,1
best melville,1
everything film simply incredible,1
truly take journey eye soul child,1
black water thriller manages completely transcend limitation indie flick continually subverting expectation emerge intense experience,1
performance real gripping crocdodile extremely well done indeed black water website believed used real crocs swamp location fabulous,1
thoroughly enjoyed christopher eccleston took control tardis continuation series,1
sure wa trying film,0
wa turn good day feeling night disturbing memory guess succeeded,0
lot beautiful place,1
wa forced like everything movie,0
lame,0
movie really pi ed,0
even get started jerky camerawork,0
saw theater thought wa going sick,0
summary witticism witty,0
plot well said let one go,0
acting wa bad,0
really bad,0
even billy bob rise script wa worse,0
camerawork bad,0
rating,0
amazing finale possibly best trilogy time,1
kieslowski never cease amaze,1
one favourite director one talented director history cinema,1
use colour french flag three film wa nothing short incredible every shot every scene wa like work art,1
three visually appealing movie ever seen,1
subtle connection three film awesome,1
mention huge spoiler loved ending character three film remaining survivor ferry disaster valentine young judge together old man watching tv solidifying happiness suffering dealt many year,1
think better way end film smile face great way wrap amazing film trilogy,1
recommend everyone love film movie anything work art,1
movie trilogy,1
literally vomited watching film,0
think wa one people found another one roth pearl,1
performance awarded wa stunning,1
story wa told eloquently francis ford coppola year earlier really unfolds gradually leaf room character develop,1
wonderful location lie story contrast,1
beautiful directed film nicola roeg wih sublime cast,1
translating movie living first movie year working experience found offensive intelligence,0
someone strives greatness poetry delivers muddled often ridiculous story bunch disparate scene pretentious dialogue get worst kind movie reviewer accurately defined pretentious crap,0
find movie intelligent even masterful say intelligence imagination obviously used try make sense pitiful attempt human nature try make sense thing,0
one thing tolerate political incorrectness well artistic freedom suspension disbelief slavic female character wa much,0
fun funny movie,1
highly entertaining angle,1
feature outlandish array memorable psychotic lovable nut,1
enjoyment get see run around play game dangerous,1
even ha sweet moment,1
telephone repair man wa really funny reaction nut bitchy bos truly genuine,1
character film tremendously well played,1
really find funny,1
actually smart movie,1
brilliant twist ending,1
love,1
ending perfect shed tear,1
thrilled seeing movie like,1
never forget,1
cult cult classic,1
ha depth character man underneath,0
malta setting dry barren dialogue,0
movie terrible,0
hockey scene terrible defensemen playing like year old goalie diving shot foot wide net etc,0
seen waste time,0
call movie drama ridiculous,0
started watching believe character,0
particular relationship bakery assistant waitress work,0
wa superficial movie gave feeling wa watching play rather film,0
character stagey storyline wa lot like stage farce,0
time pyromaniac waylaid assistant wa bored care happened next switched,0
glad pay see,0
laugh even smile,0
anything one big yawn,0
really good show watch,1
educational child year old,1
barney definitely super de duper,1
pretty funny,1
babie bop cute,1
kid cool,1
storm trooper even bad enough make list wonderfully terrible movie,0
lame,0
guy said better dialogue potted plant ha right,0
everything movie stupid,0
even love bad movie watch movie,0
shameful,0
would give television series plus could,1
writer smack think best actor actress bonus show character real,1
must say taped episode find watching,1
know gave,1
know exactly movie latched endearing movie ha become special part family memory,1
totally absolutely recommend movie anyone like good wholesome family movie exactly,1
thing four kid get absolutely hilarious watch,1
one best movie show strong sibling bond,1
much interesting action suspense le unneeded controversy,1
everything acting cinematography wa solid,1
definitely worth checking,1
damian talented versatile many way writing portraying different character screen,1
movie ha cutting edge,1
pleased know modern day genius letting passion art drive taking u audience,1
new character memorable found forgetting wa,0
felt though going ireland absolutely nothing whatsoever,0
make scared horrified make sympathetic towards character wa simply annoying,0
jerky camera movement also annoying,0
plot wa pretty much every cheap horror,0
wa pathetic attempt give character depth really work rest plot,0
guess wa supposed clever twist shed light situation wa stupid,0
see probably leave shelf,0
elia koteas jack palance play good role angelina hot get naked billy drago appears cool usual cameo sven ole thorsen help make enjoyable movie good acting decent budget,1
wa awesome movie bought ebay,1
really loved story line poler bear wa kinda cute anyone ha question fort steele ask away,1
totally unfunny movie top pathetic unrealistic throughout whole minute utter torture probably looked watch time,0
lucy bell much higher crap sink low quite depressing,0
movie doe make sick watching slacker make excuse stupid action minute,0
god never get minute back,0
think wonderful part literally full wonder excerpt work,1
set especially designed work camera amazing stylized beautiful effective,1
could used exemplar set designer,1
story powerful exploration nature man art,1
watching film wanted learn work artist,1
highly recommend movie anyone interested art poetry theater politics japanese history,1
wind lion see wonderful rendering america imperial age,1
make story different terrific production value faultless photography composition editing terrific casting underappreciated brian keith playing bully teddy vivid history,1
though wind lion told largely eye son every member family identify one character whether sean connery noble brigand candace bergen feisty heroine john huston wily john hay steve kanaly spiffy radiant ruthless lieutenant roosevelt big stick,1
high adventure best,1
think wa robert ryans best film portrayed someone like father wa schizophrenic real life father although never murdered anyone wa affected second world war made worse,1
humour get get day wa apt,1
mother brother saw robert ryan portraying type man wa good imitation type individual wa impressed,1
almost song cover girl old fashioned tuneful,0
annoying thing cover girl way rita hayworth put pedestal,0
unfortunately cover girl example hollywood used exploit woman financial gain,0
non linear narration thus many flashback every part articulated quite well,1
good cinematography also make monica bellucci look beautiful,1
good commentary today love undoubtedly film worth seeing,1
people first timer film making think excellent job,1
wa popular wa cinema good house good reaction plenty laugh,1
feel good film felt came cinema,1
ha northern humour positive community represents,1
rather enjoyed,1
liked,1
take seriously,0
really created unique feeling though,1
vivian schilling excellent job script,1
world better garbage theatre today,1
role wa played well,1
screamy masculine right,1
camera really like movie,1
would casted role ready script,1
european movie nice throwback time student experience living abroad interacting nationality although circumstance slightly different,1
fan movie sucked really bad,0
even worse ticker,0
movie wa bad,0
like building used couple location maybe poor hummh,0
blew,0
movie excellent angel beautiful scamp adorable little yelp scared funniest part scamp caught curtain angel scamp singing ive never feeling totally recommend movie coming special edition june cover ha scamp garbage angel underneath lid,1
cant explain movie romantic charming hilarious adorable junkyard scene funny junkyard dog something special funny laughed kid love buy come ha new feature,1
chosen tortured disgusting piece blatant american propaganda,0
show made american stupid full hatred clich admitted elsewhere,0
almost everyone involved must return school acting utterly predictable bad script pile garbage round,0
wish could enter negative value admins,0
set bad look place thunderbird episode,0
use slow motion needlessly repeat throughout movie well backed bad acting bad kind word continuity scene thrown reason whatsoever vehicle looked like made corn flake box directorial style bordered stupidity,0
oh yeah storyline wa pathetic,0
hate writing bad review film especially really like star film bad believe one second anyone could proud,0
filmmaker director would hide head sand spent whatever amount money time movie,0
short wa monumental waste time energy would recommend anyone ever see film,0
came free dvd player bought still turned thing halfway wa embarrassed howell,0
setting,0
interesting premise billy drago always good dangerous nut bag side note love see drago stephen mchattie lance hendrikson flick together talk raging cheekbone,1
soundtrack terrible either,1
acting even professional drago debbie rochon wa terrible directing worse perhaps contributory former dialog chimp like camera work barely tolerable,0
still wa set got big oy vey scale,1
yes simplifying thing sake brevity really core problem film ha much going without real fulfilling explanation,0
good job quite amusing,1
convoluted plot convince much film wa watched weird questioning glance,0
let girlfriend talk seeing bad idea hated,0
last minute movie also bad well,1
bela lugosi wa totally extraneous intoning odd line,0
acting wa decidely wooden though worse period universal b movie,0
like armand assante cable company summary sounded interesting watched twice already probably,1
believe screenwriter good job tying loose end,1
score mostly plot,1
say like spoiler want one believe film worth time,1
wow bad film,0
frightening least barely comprehensible,0
plot hang together acting absolutely appalling,0
even good camp value,0
expecting oscar material,0
iq particularly stupid mollusk see one coming,0
film use word loosely insult movie going public,0
someone involved knew string together narrative,0
get simply nothing lower,0
one watched recently fox movie channel wa disappointed,0
know wa contract player little control script acting wa bad script,0
victor mclaglen wa even bad brian donlevy wa almost unrecognizable,0
considering relation screen taylor stanwyck wa surprising little chemistry wa screen two,0
premise film wa ridiculous president u,0
death row scene entirely unmoving,0
thing worse taylor acting wa stanwyck singing,0
whatever producer wa going missed entirely,0
wa deeply impressed character played,1
knew saw film great thing come gifted actor,1
cheap cheerless heist movie poor characterisation lot underbite style stoic emoting think chow yun fat better tomorrow cheesy clich thrown abandoned factory ready poorly executed flying judo roll la john woo,0
even squib look awful,0
point proceeding doe look remotely like america,0
plot derivative predictable ending like mercy killing,0
awful dialogue hopeless overacting everyone get shot top real waste space time,0
wa uneasy bad movie wa scared,0
dialogue composed thing make little sense,0
minute footage wasted show mediocre elderly actor awkwardly babbling overwrought pseudo satanic gibberish corny enough make teen goth blush almost always olde english sometimes latin may may made word,0
directing sloppy best,0
hackneyed writing certainly made even worse bad directing,0
course acting blah,0
acting whole cast could put scale balanced perfectly overacting underacting,0
finally get ending would great handled competent people jerry falwell,0
loved movie wa great portrayal family share ups end knew special love,1
seen many movie starring jaclyn smith god wa one best though came year ago,1
movie contained star cast loved wa opened eye see actor seen,1
movie wa kind long length enjoyed every minute,1
overall rate movie scale,1
lifetime doe air enough anyone know store sell let know must,1
particularly remember sens assaulted strident cord music would blare little warning even le meaning,0
sort pap screened afternoon punish unemployed job,0
totally different load understatement black comedy film get see remember,1
movie creates universe fascinating every way,1
movie really got,1
see,1
really hope team behind movie make movie continue kinda weird style,1
forgot casting superb trond fausa aurv g perfect role bothersome man understand,1
movie good humorous comment life,1
found move beautiful enjoyable uplifting,1
initially local site film wa filmed buffalo intrigued,1
later found lost power film,1
entire audience applauded conclusion film,1
left theater lilt step joy heart hope human race,1
duris ha wholesome appearance give fine performance,1
rest cast also play well,1
cinematography noteworthy including fine view barcelona famed gaudi tower,1
ten minute film started second thought,0
half way film started dislike,0
time film ended disliked despised,0
film lack convincing script,0
script look rough draft wa written shooting began finished script wa completed,0
thing happen character personality change plot twist occur real reason script call,0
cast good,1
worth checking,1
probably irritating show ever seen entire life,0
indescribably annoying idiotic show ever seen,0
everything bad,0
could understand kind idiot would produce mess first place mention several season,0
script bad bad contains cheesiness unethical joke normally see rated r nc movie,0
casting also horrible cause see really really bad actor period,0
final word show real torture,0
zillion time away reality,0
watching washing machine twirling around hurt eye much show,0
rating grade z note show bad even mother cast pull daughter show,0
th century fox road house quite silly noir implausible unmitigated bore movie,0
full unconvincing cardboard character blandly written edward chodorov also produced surprisingly directed jean negulesco one would expect great deal,0
widmark character turn unintentionally comical,0
losing marble early proceeding totally implausible unconvincing,0
enough mess movie picture also marred constant use studio set indoor exterior,0
whatever prompted documentary beyond,0
serious spoiler movie wa huge disappointment,0
many problem dont know start,0
cast wa great,1
steve martin delivers really funny performance middle aged upper class uptight white guy,1
add betty white jean smart great cast everyone played part really well,1
movie make lot serious mistake,0
first enough racial stereotype racial joke offend everyone,0
movie littered overt racial slur towards black cast member return white depicted moron boob,0
putting race card aside let look major flaw film destroy latifa character,0
real plot,0
wouldnt see movie free,0
steamboat willie amazingly important film cinema history,1
second appearance mickey mouse following silent plane crazy earlier year probably famous film mostly wa ground breaking,1
yet hear mickey speak ton sound effect music throughout film something take granted wa huge crowd pleaser,1
however seeing short year wa amazed timeless film actually,1
adorable seeing mickey playing turkey straw highly imaginative occasionally cruel way,1
clever real crowd pleaser film still rank among mickey best film even wonderful year,1
bipolarity ruthless thug one minute ruthless killer next minute luv diaper commercial completely unconvincing,0
terribly disappointed film would receive many award accolade especially far deserving work film,0
original body soul masterpiece,1
john garfield ann revere lilli plmer william conrad canada lee filmed one greatest cinematographer ever grace screen james wong howe,1
think redeeming quality remake,0
may bad film ever made,0
bad well bad,0
movie solid example bad plot bad idea way,0
shame see good actor like thomerson james make living mess like,0
thought wa bad,0
film terrible credit version wa watchable,0
let start problem acting especially lead professor wa bad,0
script big flawed mess,0
best example dumb writing established turn zombie student back human removing necklace containing piece meteorite,0
director paul matthew also wrote directed weak monster movie grim clearly know pace film,0
movie terribly boring place,0
lighting awful,0
film look cheap bland,0
one disappointing aspect lack notable gore,0
convention never worked well past certainly work,0
visual effect awful,0
cg opening sequence space looked like could created microsoft slideshow god sake,0
explosion gas tank end wa awful,0
okay like consider fair critic give credit credit due creature effect actually pretty cool,1
got ta love close ups slimy drooling teeth,1
sum film breeder terrible cheaply made horror movie avoided like ebola virus,0
recommended,0
almost unbearable watch screen ha little charisma terrible comedic timing,0
aside terrible lead film ha load debit,0
understand supposed cheap popcorn comedy mean ha completely insult intelligence writing incredibly hackneyed border offensive,0
lewis black considerable talent wasted incendiary unrestrained pg rating certainly allow,0
film sole bright spot wa jonah hill look almost unrecognizable fan recent superbad due amount weight lost interim,1
originality freshness first movie spent remake little else offer,0
budget wa evidently limited,0
wa reflected cast also par script borrowed much earlier classic,0
however wa decent acting action location work balance thing,0
filmiing wa le expansive,0
failed convey broad sweep landscape great part original,0
generally lacked imagination,0
recommended,0
possible movie get worse,0
plot keep going first place,0
even woman finally show sign improvement expected thing happen time film might far asleep,0
beware trashy cult movie trash period,0
believe even sequel,0
precisely giving bad review,0
child truly enjoyed show proudly say enjoyed big time even classical wb cartoon,1
tiny toon kept vibe delivered one popular funny underrated cartoon ever created,1
memory murky say enjoyed every single episode product related show,1
easily none cartoon made laugh tender way getting dark sitcom oriented teenager,1
character funny peculiarity true lead character,1
every single character wa hilarious deserved called lead,1
every element story wa top excessively phony contrived wa painful sit,0
line seem written fifteen year old though trying oh hard sound like fifteen year old would really um know well talk,0
perabo ha nice energy level obviously comfortable front camera,1
simply excuse something poorly done,0
saw movie thought stupid movie,0
even stupid thought idea volcano los angeles,0
honest unbelievable nonsense foolish,0
conclusion bother movie volcano los angeles nothing nonsense,0
story line awful,0
painful,0
accent absolutely abysmal,0
also enough hypocrisy film make vomit,0
waste time watching rubbish non researched film,0
believe pitch black wa done well,1
character interesting want find longer movie go think people surprised doe make,1
go watch,1
omit watching,0
funny,1
rating,0
character interesting really care,1
instant classic great soundtrack catchy song ending credit,1
miss,1
masterful piece film making many theme simmering occasionally boiling wart study poet bohemian self indulgent wartime year span aerial bombardment london outward tranquillity welsh coastal retreat borderline friendship lust love dedication art experience versus practical concern jealousy rivalry cowardice egotism versus heroism self sacrifice,1
mature subtle script suggests occasionally brings dramatic focus underlying tension well served perfect performance apart odd inappropriate smiling keira knightley prone though perhaps direction time character often mention,1
exquisite visual composition moment inventive elegant use close camera angle lighting including pointillistic faux home movie footage wonder joy behold,1
continuously beautiful look bertolucci relationship convincing narrative engaging master work,1
basic premise wasted since sidelined inexplicable focus documentary crew,0
regardless film fails level,0
avoid cost,0
saw film christmas great film wa,1
thought errol flynn wa brilliant custer ha since become favourite actor,1
acting alongside olivia de havilland wa brilliant ending wa fantastic,1
always known errol flynn wa brilliant actor wa dad favourite actor grew watching film child,1
watched film realised great actually wa,1
give film,1
know jim connor wa energetic nobody could much george wa well dull,0
really seem want hosting voice monotonous get involved guest,0
lovely little thriller hitchcock lot nice shenanigan surrounding murdered spy kidnapped child nasty church foreign plot random taxidermist,1
jimmy stewart ever great hero hitchcock story rip along cool climax embassy function lack brooding menace hitchcock black white low budget original,1
nevertheless yet another wonderful film great master stable,1
say film wa excellently produced top rating typical sci fi film,1
excellently produced one sci fi best producer scot vandiver,1
entertaining nonetheless,1
campy sort film joy watch,1
barely boring moment film plenty humorous part,1
cast always entertaining usual,1
overall delight,1
movie mind bendingly awful even created,0
film lack real scare tension medical terminology used throughout bit iffy say least say insulin dependant diabetic,0
least said acting better,0
movie doe excellent job revealing complexity task incredible challenge facing south africa,1
believe every one see movie think people outside south africa understand past attempted truth reconciliation process,1
nothing short magnificent photography cinematography film,1
acting fantastic story seamlessly woven together dog splendid must rent view see,1
afraid subtitle worth little aversion therapy,1
excellent performance,1
still good actor around,1
also great directing photography,1
true shakespear must shakespear fan,1
macbeth jason connery moved tear final monolog brief candle gave sphere moral decay dark force human face make interesting,1
helen baxendale credible lady macbeth cheerfull time sometimes look like naughty girl deadly taste blood evil,1
love death decay shakespears lyric one,1
witty delightful adaptation dr seuss book brilliantly animated upa finest thoroughly deserving academy award,1
special mention made superb music score sound effect integral element helping make memorable enjoyable cartoon,1
however paul schrader ha indeed made film mishima superb complex,1
also notable john bailey fine crisp beautifully colored cinematography great production design costume eiko ishioka went memorable costume coppola dracula received well deserved oscar,1
even allowing poor production value time format kind mini series baaaaaad,0
unless visually collect extant film austen work skip one,0
watch however small consolation actress playing anne sister wonderful job role,1
good,0
speaking music unbearably predictably kitchy,0
film dropped ball,0
stunning movie,1
raw sublimely moving,1
felt like gripping intelligent stage play without overly theatrical feeling one actually get watching people stage play everyone terror white lie escalating monstrous consequence,1
main player mesmerising,1
tom wilkinson broke heart end everyone else judging amount fumbling hanky hand going face among male female alike,1
julian fellowes ha triumphed,1
national treasure,1
go see,1
excellent film,1
aerial scene well done,1
wa also right balance war love,1
film give meaning phrase never history human conflict ha much owed many,1
kris kristoffersen good movie really make difference,1
good film great director,1
definitely one better documentary seen looking family relationship marriage,1
many continuity error one user commented different car garage joe glass one got wa fact joe facial hair configuration seemed change scene scene,0
great movie,1
star,1
see movie inspiration anyone come overcome fear rejection,0
bad actually worth seeing reason,0
punishment park brilliant piece cinema,1
shot southern california desert using patent faux documentary style watkins creates film like,1
one peter watkins accessible film,1
advise look,1
wont regret,1
highly recommended,1
well keep thinking bad,0
mediocre miserable hollow laughable predictable piece garbage,0
case bad laughable,0
bad performance play angela bennett computer expert home time,0
film nothing pretext show ridiculous action scene,0
awful,0
still bad actress repeating robotic face move picture,0
result well shame,0
delete film mind,0
one worst show time,0
show would begin smart ed comment would totally wall uncalled,0
fat computer geek wa unbelievable bible thumper bad girl actor,0
never heard except cole wa totally unbelievable part,0
every time opened mouth expect hear see kid pulling plug wa mercy killing horrible show,0
story unbelievable actor,0
lame would best way describe,0
stanwyck morgan perfectly cast many way modern equivalent dickens christmas carol sensibility,1
success film depends casting sydney greenstreet alexander yardley character,1
attractive set used throughout film eye pleasing gem,1
im big fan rpg game movie disgrace self respecting rpger,0
line cut audio everything wrong,0
find better movie youtube,0
top line waste time money one bad come,0
lassie movie put sleep forever,0
describe painfully dreary time waster film,0
mediocre every aspect becomes dull uninteresting mess one forgettable movie seen,0
even achievement bad good bad memorable movie,0
empty hollow shell movie,0
seriously worth wasting kid time,0
avoid avoid avoid,0
drive barking mad,0
transfer good,1
nice relaxing late night viewing,1
movie full wonderful dancing hence title,1
great music terrific scenery,1
handle tough issue dignity grace course ha shocking spoiler,1
happy wonderful feel good ending,1
point journey journey touch every member family,1
one movie need see whenever come tv never mind fact already memorized,1
nothing new,0
wa done second movie,0
movie ha almost action scene little comedy,0
plot ha hole pair fishnet stocking direction editing astonishingly ham fisted,0
earth iron film,0
saw film recommend,1
ha good plot hold complete attention acting superb tom wilkinson wa fantastic emily watson wa also good,1
good film indeed great unconditional love,1
tom wilkinson character man prepared ordeal begin take matter hand story progress great actor give performance make feel character anguish suffering,1
emily watson character strong ha give quick glance understand everything,1
despite pan reviewer liked movie,1
fact liked better interview vampire liked lestat stuart townsend better cruise attempt,1
aailiyah wa pretty good akasha place compelling first entrance mini dance scene,1
big fan series mostly due anne rice style sensitivity treatment,1
guess liked detail dysfunction wa believable,1
football scene end perplexing,0
thought acting wa skilled,1
meredith wa better right,1
charming film wonderful sentiment heart,1
rare film maker take time tell worthy moral tale care love fall trap overly syrupy indulgent,1
nine ten truly lovely film,1
early film future goremeister lucio fulci good addition giallo sub genre,1
one best italian thriller early,1
standout scene,1
scene strong unpleasant,0
